"Close","pc_1","pc_2","prediction(Close)"
4970.0,-1.8262545028490251,0.1831858015951987,4956.423524071066
5075.0,-1.7424526697845724,-0.22807188731559305,4968.816895088268
5100.0,-1.7856706206816308,-0.7074778522659717,5057.353241058256
4960.0,-1.6821367457288041,-0.45505023557212565,4968.050490221312
5025.0,-1.7905483260494974,-0.18937937680233952,4988.9675490879745
5000.0,-1.9172871010457584,0.1932742290837986,5003.302477697881
5025.0,-1.8247891775694438,-0.19127172288733485,5007.369969022378
5125.0,-2.058882156178404,0.14355891878130678,5085.321274490376
5125.0,-2.203412058177183,0.5103084333156437,5111.203708210726
5175.0,-2.213632944986665,0.25134334264182745,5152.571129116662
5275.0,-2.062672352444062,-1.1506615771211908,5264.084759352823
5250.0,-2.3834793042691516,0.05869556220900307,5269.325580319974
5300.0,-2.424771649670742,0.03580142940346798,5294.3808341295535
5350.0,-2.3656407421868915,-0.4253258370548272,5326.134631304055
5475.0,-2.4221555244984954,-0.747569493949629,5399.782338420081
5450.0,-2.4188513044148205,-1.2357125654297838,5463.721790118871
5275.0,-2.304512638780865,-0.7741966157458668,5341.164281310821
5450.0,-2.333765136207032,-0.7240665181102481,5349.851529213018
5525.0,-2.548454393832184,-0.747348070936652,5466.471776760642
5400.0,-2.5936148140847073,-0.5174755197371437,5459.252983312803
5375.0,-2.4483313295718254,-0.291728802920088,5351.716652906507
5300.0,-2.519160583653651,-0.14366847490302898,5369.013905438868
5350.0,-2.1854692327793193,-1.0446656429818642,5314.748182581263
5350.0,-2.5699007357648087,0.22586086204440714,5345.227618770983
5375.0,-2.599053290538093,0.2763256332071823,5353.743766197089
5350.0,-2.3960396413729024,-0.2509236871686805,5318.4407048218345
5450.0,-2.4194144580737302,-0.579288160361368,5375.53663207579
5650.0,-2.2875041996022194,-2.2069139871068257,5523.520744485029
5725.0,-2.8320483098994913,-1.0466467464211657,5655.715402357526
5700.0,-3.077191330503759,-0.5983707732500204,5724.249226439735
5650.0,-3.1167132065027885,-0.15210919306245352,5685.222823778915
5600.0,-2.918524748581179,-0.30411911839807165,5601.680608664055
5625.0,-2.9518416556726152,-0.11915614144467201,5594.223807076576
5650.0,-2.9614773467635187,-0.2614538037989737,5618.504794943027
5700.0,-2.893925310436188,-0.7536443201437526,5649.090947257237
5825.0,-2.973182086461196,-1.4068056948108163,5776.891407092952
5750.0,-3.2196899256675073,-0.47762686937071647,5782.446211813646
5800.0,-3.173456912698982,-0.4737580007122388,5757.867785236419
5800.0,-3.246423320026269,-0.3174750806536447,5775.068220852372
5600.0,-2.5626808663374723,-1.883120363149217,5625.293449131946
5600.0,-2.7295884374802304,-0.5998341731672572,5542.102564836143
5450.0,-2.576327280772613,-0.9989152634252341,5514.999826002413
5350.0,-2.3809164693918037,-0.7243061929546182,5374.827967266878
5375.0,-2.537542004927118,-0.13410260063290813,5377.442538383797
5350.0,-2.5150753356874334,0.13811402476314072,5328.2180862051055
5375.0,-2.465161519959628,-0.16879951528124282,5343.8416496638365
5325.0,-2.5010143994072944,-0.033712076600812435,5344.349674443903
5200.0,-2.2934881810269943,-0.3399542640392348,5276.25614749327
5350.0,-1.9570407255293052,-1.0733621174966193,5197.747525087252
5325.0,-2.299541208598029,-0.733667885630515,5333.04236735413
5325.0,-2.554401704897678,0.16744989088967688,5345.042205315414
5375.0,-2.674141794387364,0.38093613853633046,5379.159805661458
5425.0,-2.5698778752762106,-0.07170968938847133,5386.039055519035
5500.0,-2.648037027862085,-0.2530112724780175,5452.1229266924065
